x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,label,match_id,turning_point
0,1,1,1,0,1,1.0,6.0,1,0,0.0,0,2023-wimbledon-1301,0
-15,0,1,1,0,1,1.0,5.253,1,1,-1.2651256830601092,1,2023-wimbledon-1301,1
0,1,1,1,0,1,1.0,13.8,1,1,-0.028378688524590117,0,2023-wimbledon-1301,0
-15,0,1,1,0,1,1.0,51.108,1,1,-1.3518387978142075,1,2023-wimbledon-1301,0
0,1,1,1,0,1,1.0,0.649,1,1,1.2784928961748636,1,2023-wimbledon-1301,1
10,1,1,1,0,1,1.0,5.291,1,0,3.854417486338798,0,2023-wimbledon-1301,0
0,1,1,1,0,1,1.0,6.817,1,1,1.377244262295082,1,2023-wimbledon-1301,0
10,1,1,1,0,1,1.0,17.503,1,0,3.9641677595628413,0,2023-wimbledon-1301,1
0,1,1,1,0,1,1.0,34.489,1,1,0.017213114754098563,1,2023-wimbledon-1301,0
10,1,1,1,0,1,1.0,21.235,1,1,0.1924147540983607,1,2023-wimbledon-1301,0
0,1,0,0,0,0,0.0,5.785,0,1,2.825797267759563,0,2023-wimbledon-1301,1
-15,0,0,0,0,0,0.0,19.744,0,1,0.7264868852459015,1,2023-wimbledon-1301,0
0,1,0,0,0,0,0.0,26.013,0,1,3.3561437158469944,1,2023-wimbledon-1301,1
15,1,0,0,0,0,0.0,10.667,0,1,3.2577147540983606,0,2023-wimbledon-1301,0
0,1,0,0,0,0,0.0,3.399,0,1,0.23561256830601107,0,2023-wimbledon-1301,0
-10,0,0,0,0,0,0.0,5.3,0,0,0.2383797814207651,1,2023-wimbledon-1301,0
0,1,0,0,0,0,0.0,5.245,0,1,0.13584535519125687,0,2023-wimbledon-1301,0
-10,0,0,0,0,0,0.0,15.194,0,1,-1.9975972677595628,0,2023-wimbledon-1301,0
0,1,1,1,0,0,0.0,0.899,1,1,-1.4405628415300544,1,2023-wimbledon-1301,1
15,1,1,1,0,0,0.0,18.088,1,1,0.8135945355191256,1,2023-wimbledon-1301,1
30,1,1,1,0,0,0.0,7.288,1,1,1.1774775956284156,0,2023-wimbledon-1301,0
15,1,1,1,0,0,0.0,42.166,1,1,0.9635606557377051,1,2023-wimbledon-1301,0
25,1,1,1,0,0,0.0,3.782,1,0,3.035065573770492,1,2023-wimbledon-1301,0
0,1,0,0,0,1,0.0,12.601,0,0,3.04850218579235,0,2023-wimbledon-1301,0
-15,0,0,0,0,1,0.0,14.925,0,1,0.7509819672131146,0,2023-wimbledon-1301,1
-30,0,0,0,0,1,0.0,0.903,0,1,1.1233912568306017,0,2023-wimbledon-1301,1
-40,0,0,0,0,1,0.0,20.027,0,1,-1.30707868852459,0,2023-wimbledon-1301,0
0,1,0,1,0,1,1.0,15.352,1,1,-3.6065584699453552,1,2023-wimbledon-1301,0
15,1,0,1,0,1,1.0,4.285,1,1,-1.1612404371584704,1,2023-wimbledon-1301,0
